t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z
0,19.1,24.3,0,1,0,0,0,1.499999757066647,1.499999757066647,0,0,0,0,1.06066,-1.024372097972853,0
0.009998928346744075,19.11505141172506,24.31494718246327,0,1,0,0,0,1.510605220406904,1.489757133858612,0,0,0,0,1.06066,-1.024372097972853,0
0.01999785669348815,19.13020886671813,24.32979194967101,0,1,0,0,0,1.521210683747162,1.479514510650578,0,0,0,0,1.06066,-1.024372097972853,0
0.02999678504023223,19.14547236497923,24.3445343016232,0,1,0,0,0,1.53181614708742,1.469271887442543,0,0,0,0,1.06066,-1.024372097972853,0
0.0399957133869763,19.16084190650836,24.35917423831986,0,1,0,0,0,1.542421610427677,1.459029264234509,0,0,0,0,1.06066,-1.024372097972853,0
0.04999464173372038,19.17631749130551,24.37371175976097,0,1,0,0,0,1.553027073767935,1.448786641026474,0,0,0,0,1.06066,-1.024372097972853,0
0.05999357008046445,19.19189911937068,24.38814686594654,0,1,0,0,0,1.563632537108192,1.43854401781844,0,0,0,0,1.06066,-1.024372097972853,0
0.06999249842720853,19.20758679070387,24.40247955687657,0,1,0,0,0,1.57423800044845,1.428301394610406,0,0,0,0,1.06066,-1.024372097972853,0
0.0799914267739526,19.22338050530509,24.41670983255107,0,1,0,0,0,1.584843463788708,1.418058771402371,0,0,0,0,1.06066,-1.024372097972853,0
0.08999035512069667,19.23928026317433,24.43083769297002,0,1,0,0,0,1.595448927128965,1.407816148194337,0,0,0,0,1.06066,-1.024372097972853,0
0.09998928346744075,19.25528606431159,24.44486313813344,0,1,0,0,0,1.606054390469223,1.397573524986302,0,0,0,0,1.06066,-1.024372097972853,0
0.1099882118141848,19.27139790871688,24.45878616804131,0,1,0,0,0,1.61665985380948,1.387330901778268,0,0,0,0,1.06066,-1.024372097972853,0
0.1199871401609289,19.28761579639019,24.47260678269365,0,1,0,0,0,1.627265317149738,1.377088278570233,0,0,0,0,1.06066,-1.024372097972853,0
0.129986068507673,19.30393972733152,24.48632498209044,0,1,0,0,0,1.637870780489995,1.366845655362199,0,0,0,0,1.06066,-1.024372097972853,0
0.1399849968544171,19.32036970154088,24.4999407662317,0,1,0,0,0,1.648476243830253,1.356603032154164,0,0,0,0,1.06066,-1.024372097972853,0
0.1499839252011611,19.33690571901826,24.51345413511741,0,1,0,0,0,1.659081707170511,1.34636040894613,0,0,0,0,1.06066,-1.024372097972853,0
0.1599828535479052,19.35354777976367,24.52686508874759,0,1,0,0,0,1.669687170510768,1.336117785738095,0,0,0,0,1.06066,-1.024372097972853,0
0.1699817818946493,19.37029588377709,24.54017362712223,0,1,0,0,0,1.680292633851026,1.325875162530061,0,0,0,0,1.06066,-1.024372097972853,0
0.1799807102413933,19.38715003105854,24.55337975024132,0,1,0,0,0,1.690898097191283,1.315632539322027,0,0,0,0,1.06066,-1.024372097972853,0
0.1899796385881374,19.40411022160801,24.56648345810488,0,1,0,0,0,1.701503560531541,1.305389916113992,0,0,0,0,1.06066,-1.024372097972853,0
0.1999785669348815,19.42117645542551,24.57948475071289,0,1,0,0,0,1.712109023871798,1.295147292905958,0,0,0,0,1.06066,-1.024372097972853,0
0.2099774952816256,19.43834873251103,24.59238362806537,0,1,0,0,0,1.722714487212056,1.284904669697923,0,0,0,0,1.06066,-1.024372097972853,0
0.2199764236283697,19.45562705286457,24.6051800901623,0,1,0,0,0,1.733319950552314,1.274662046489889,0,0,0,0,1.06066,-1.024372097972853,0
0.2299753519751137,19.47301141648614,24.6178741370037,0,1,0,0,0,1.743925413892571,1.264419423281854,0,0,0,0,1.06066,-1.024372097972853,0
0.2399742803218578,19.49050182337573,24.63046576858956,0,1,0,0,0,1.754530877232829,1.25417680007382,0,0,0,0,1.06066,-1.024372097972853,0
0.2499732086686019,19.50809827353334,24.64295498491988,0,1,0,0,0,1.765136340573086,1.243934176865785,0,0,0,0,1.06066,-1.024372097972853,0
0.2599721370153459,19.52580076695898,24.65534178599465,0,1,0,0,0,1.775741803913344,1.233691553657751,0,0,0,0,1.06066,-1.024372097972853,0
0.26997106536209,19.54360930365264,24.66762617181389,0,1,0,0,0,1.786347267253601,1.223448930449716,0,0,0,0,1.06066,-1.024372097972853,0
0.2799699937088341,19.56152388361432,24.67980814237759,0,1,0,0,0,1.796952730593859,1.213206307241682,0,0,0,0,1.06066,-1.024372097972853,0
0.2899689220555782,19.57954450684403,24.69188769768575,0,1,0,0,0,1.807558193934117,1.202963684033647,0,0,0,0,1.06066,-1.024372097972853,0
0.2999678504023223,19.59767117334176,24.70386483773836,0,1,0,0,0,1.818163657274374,1.192721060825613,0,0,0,0,1.06066,-1.024372097972853,0
0.3099667787490663,19.61590388310751,24.71573956253544,0,1,0,0,0,1.828769120614632,1.182478437617578,0,0,0,0,1.06066,-1.024372097972853,0
0.3199657070958104,19.63424263614128,24.72751187207698,0,1,0,0,0,1.839374583954889,1.172235814409544,0,0,0,0,1.06066,-1.024372097972853,0
0.3299646354425545,19.65268743244308,24.73918176636298,0,1,0,0,0,1.849980047295147,1.16199319120151,0,0,0,0,1.06066,-1.024372097972853,0
0.3399635637892985,19.6712382720129,24.75074924539344,0,1,0,0,0,1.860585510635404,1.151750567993475,0,0,0,0,1.06066,-1.024372097972853,0
0.3499624921360426,19.68989515485075,24.76221430916835,0,1,0,0,0,1.871190973975662,1.141507944785441,0,0,0,0,1.06066,-1.024372097972853,0
