t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z
0,0,0,0,1,0,0,0,50,0,0,0,0,0,91.39549642245956,100,0
0.004989730786007868,0.250624295025257,0.001244870665841735,0,1,0,0,0,50.45603892220162,0.4989730786007868,0,0,0,0,91.39549642245956,100,0
0.009934293132509295,0.5012245756239734,0.004934509002131067,0,1,0,0,0,50.90794965245192,0.9934293132509295,0,0,0,0,91.39549642245956,100,0
0.01483444608796573,0.7517785870045394,0.01100303953683809,0,1,0,0,0,51.35580156436184,1.483444608796573,0,0,0,0,91.39549642245956,100,0
0.01969094653582524,1.002265868956888,0.0193866687738364,0,1,0,0,0,51.79966383366986,1.969094653582524,0,0,0,0,91.39549642245956,100,0
0.02450454742536575,1.252667628124935,0.03002364222609996,0,1,0,0,0,52.23960527654901,2.450454742536575,0,0,0,0,91.39549642245956,100,0
0.02927599622045162,1.502966617780342,0.04285419773499487,0,1,0,0,0,52.67569420783023,2.927599622045162,0,0,0,0,91.39549642245956,100,0
0.03400603356919699,1.753147026051377,0.05782051595546764,0,1,0,0,0,53.10799831941559,3.400603356919699,0,0,0,0,91.39549642245956,100,0
0.03869539215584717,2.003194371310014,0.07486666870473994,0,1,0,0,0,53.5365845753454,3.869539215584717,0,0,0,0,91.39549642245956,100,0
0.04334479572180697,2.253095404642945,0.09393856580825878,0,1,0,0,0,53.96151912232465,4.334479572180697,0,0,0,0,91.39549642245956,100,0
0.04795495826723856,2.502838020597038,0.1149839011206296,0,1,0,0,0,54.3828672167526,4.795495826723856,0,0,0,0,91.39549642245956,100,0
0.05252658334867236,2.752411172147545,0.1379520979142512,0,1,0,0,0,54.80069316052761,5.252658334867236,0,0,0,0,91.39549642245956,100,0
0.05706036352034808,3.001804792839826,0.1627942542537135,0,1,0,0,0,55.21506024998821,5.706036352034808,0,0,0,0,91.39549642245956,100,0
0.06155697988068924,3.2510097243992,0.189463088601579,0,1,0,0,0,55.62603073446295,6.155697988068924,0,0,0,0,91.39549642245956,100,0
0.06601710171368583,3.500017649551957,0.217912885933757,0,1,0,0,0,56.03366578349432,6.601710171368583,0,0,0,0,91.39549642245956,100,0
0.07044138620530768,3.748821029211529,0.2480994445262656,0,1,0,0,0,56.43802546092029,7.044138620530768,0,0,0,0,91.39549642245956,100,0
0.07483047824911876,3.997413045045597,0.2799800237495918,0,1,0,0,0,56.83916870710827,7.483047824911876,0,0,0,0,91.39549642245956,100,0
0.07918501030500839,4.245787545601273,0.3135132928502143,0,1,0,0,0,57.23715332604382,7.918501030500839,0,0,0,0,91.39549642245956,100,0
0.08350560231919268,4.493938996592751,0.3486592809345579,0,1,0,0,0,57.6320359780191,8.350560231919268,0,0,0,0,91.39549642245956,100,0
0.08779286168378397,4.741862434244433,0.3853793281314012,0,1,0,0,0,58.02387217593777,8.779286168378398,0,0,0,0,91.39549642245956,100,0
0.09204738326730397,4.989553423610282,0.4236360383178975,0,1,0,0,0,58.41271628810365,9.204738326730396,0,0,0,0,91.39549642245956,100,0
0.09626974944879541,5.237008018079484,0.4633932329466922,0,1,0,0,0,58.79862154133846,9.626974944879541,0,0,0,0,91.39549642245956,100,0
0.1004605302071969,5.484222723109875,0.5046159064755562,0,1,0,0,0,59.18164002915026,10.04605302071969,0,0,0,0,91.39549642245956,100,0
0.1046202832223125,5.731194461709894,0.5472701830758436,0,1,0,0,0,59.56182272096157,10.46202832223125,0,0,0,0,91.39549642245956,100,0
0.1087495540190545,5.977920543570511,0.591323274967163,0,1,0,0,0,59.93921947529257,10.87495540190545,0,0,0,0,91.39549642245956,100,0
0.1128488761152689,6.224398635538706,0.6367434420239656,0,1,0,0,0,60.31387905327164,11.28488761152689,0,0,0,0,91.39549642245956,100,0
0.1169187711920753,6.470626734561265,0.6834999528532432,0,1,0,0,0,60.68584913420369,11.69187711920753,0,0,0,0,91.39549642245956,100,0
0.1209597492796698,6.716603142697481,0.7315630472900283,0,1,0,0,0,61.05517633255166,12.09597492796697,0,0,0,0,91.39549642245956,100,0
0.1249723089486447,6.962326443600338,0.7809039001977747,0,1,0,0,0,61.42190621542237,12.49723089486447,0,0,0,0,91.39549642245956,100,0
0.1289569375222965,7.207795481406785,0.8314945867564746,0,1,0,0,0,61.78608332197039,12.89569375222965,0,0,0,0,91.39549642245956,100,0
0.1329141112811836,7.453009340275652,0.8833080488833427,0,1,0,0,0,62.14775118209381,13.29141112811836,0,0,0,0,91.39549642245956,100,0
0.1368442956911929,7.697967326478739,0.9363180631609324,0,1,0,0,0,62.50695233727842,13.68442956911929,0,0,0,0,91.39549642245956,100,0
0.1407479456142052,7.942668950504415,0.9904992097309636,0,1,0,0,0,62.86372835985163,14.07479456142052,0,0,0,0,91.39549642245956,100,0
0.1446255055449294,8.187113911857244,1.04582684270632,0,1,0,0,0,63.21811987462799,14.46255055449294,0,0,0,0,91.39549642245956,100,0
0.1484774098271595,8.431302083620295,1.102277061449115,0,1,0,0,0,63.57016657867422,14.84774098271595,0,0,0,0,91.39549642245956,100,0
0.1523040828957744,8.675233499663941,1.159826683336147,0,1,0,0,0,63.91990726342674,15.23040828957744,0,0,0,0,91.39549642245956,100,0
0.1561059394860366,8.918908340783192,1.218453217140906,0,1,0,0,0,64.26737983382075,15.61059394860366,0,0,0,0,91.39549642245956,100,0
0.1598833848745841,9.162326923819924,1.27813483794772,0,1,0,0,0,64.61262133031578,15.98833848745841,0,0,0,0,91.39549642245956,100,0
