t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z
0,4.6,7.1,0,1,0,0,0,0.8078447257227047,1.950309693131326,0,0,0,0,1.06,-1.06,0
0.009995615216904738,4.608127858564819,7.119441591714851,0,1,0,0,0,0.8184400778526237,1.939714341001407,0,0,0,0,1.06,-1.06,0
0.01999123043380948,4.616361624192616,7.138777276366724,0,1,0,0,0,0.8290354299825428,1.929118988871488,0,0,0,0,1.06,-1.06,0
0.02998684565071422,4.624701296883392,7.158007053955618,0,1,0,0,0,0.8396307821124618,1.918523636741569,0,0,0,0,1.06,-1.06,0
0.03998246086761895,4.633146876637147,7.177130924481534,0,1,0,0,0,0.8502261342423808,1.90792828461165,0,0,0,0,1.06,-1.06,0
0.04997807608452369,4.641698363453878,7.196148887944473,0,1,0,0,0,0.8608214863722998,1.897332932481731,0,0,0,0,1.06,-1.06,0
0.05997369130142843,4.650355757333589,7.215060944344432,0,1,0,0,0,0.8714168385022188,1.886737580351812,0,0,0,0,1.06,-1.06,0
0.06996930651833316,4.659119058276278,7.233867093681414,0,1,0,0,0,0.8820121906321379,1.876142228221893,0,0,0,0,1.06,-1.06,0
0.07996492173523791,4.667988266281945,7.252567335955417,0,1,0,0,0,0.8926075427620569,1.865546876091974,0,0,0,0,1.06,-1.06,0
0.08996053695214265,4.676963381350592,7.271161671166442,0,1,0,0,0,0.9032028948919759,1.854951523962055,0,0,0,0,1.06,-1.06,0
0.09995615216904738,4.686044403482215,7.289650099314489,0,1,0,0,0,0.9137982470218949,1.844356171832136,0,0,0,0,1.06,-1.06,0
0.1099517673859521,4.695231332676816,7.308032620399556,0,1,0,0,0,0.924393599151814,1.833760819702217,0,0,0,0,1.06,-1.06,0
0.1199473826028569,4.704524168934397,7.326309234421647,0,1,0,0,0,0.934988951281733,1.823165467572298,0,0,0,0,1.06,-1.06,0
0.1299429978197616,4.713922912254955,7.344479941380759,0,1,0,0,0,0.945584303411652,1.812570115442379,0,0,0,0,1.06,-1.06,0
0.1399386130366663,4.723427562638493,7.362544741276892,0,1,0,0,0,0.956179655541571,1.80197476331246,0,0,0,0,1.06,-1.06,0
0.1499342282535711,4.733038120085008,7.380503634110047,0,1,0,0,0,0.96677500767149,1.791379411182541,0,0,0,0,1.06,-1.06,0
0.1599298434704758,4.742754584594501,7.398356619880224,0,1,0,0,0,0.9773703598014091,1.780784059052622,0,0,0,0,1.06,-1.06,0
0.1699254586873805,4.752576956166974,7.416103698587423,0,1,0,0,0,0.9879657119313281,1.770188706922703,0,0,0,0,1.06,-1.06,0
0.1799210739042853,4.762505234802423,7.433744870231644,0,1,0,0,0,0.9985610640612471,1.759593354792784,0,0,0,0,1.06,-1.06,0
0.18991668912119,4.772539420500852,7.451280134812885,0,1,0,0,0,1.009156416191166,1.748998002662865,0,0,0,0,1.06,-1.06,0
0.1999123043380948,4.782679513262258,7.468709492331149,0,1,0,0,0,1.019751768321085,1.738402650532946,0,0,0,0,1.06,-1.06,0
0.2099079195549995,4.792925513086643,7.486032942786434,0,1,0,0,0,1.030347120451004,1.727807298403027,0,0,0,0,1.06,-1.06,0
0.2199035347719042,4.803277419974006,7.503250486178742,0,1,0,0,0,1.040942472580923,1.717211946273108,0,0,0,0,1.06,-1.06,0
0.229899149988809,4.813735233924348,7.520362122508071,0,1,0,0,0,1.051537824710842,1.706616594143189,0,0,0,0,1.06,-1.06,0
0.2398947652057137,4.824298954937668,7.537367851774421,0,1,0,0,0,1.062133176840761,1.69602124201327,0,0,0,0,1.06,-1.06,0
0.2498903804226185,4.834968583013966,7.554267673977793,0,1,0,0,0,1.07272852897068,1.685425889883351,0,0,0,0,1.06,-1.06,0
0.2598859956395232,4.845744118153242,7.571061589118187,0,1,0,0,0,1.083323881100599,1.674830537753432,0,0,0,0,1.06,-1.06,0
0.2698816108564279,4.856625560355496,7.587749597195604,0,1,0,0,0,1.093919233230518,1.664235185623513,0,0,0,0,1.06,-1.06,0
0.2798772260733327,4.867612909620729,7.604331698210041,0,1,0,0,0,1.104514585360437,1.653639833493594,0,0,0,0,1.06,-1.06,0
0.2898728412902374,4.878706165948941,7.6208078921615,0,1,0,0,0,1.115109937490356,1.643044481363675,0,0,0,0,1.06,-1.06,0
0.2998684565071422,4.88990532934013,7.637178179049982,0,1,0,0,0,1.125705289620275,1.632449129233756,0,0,0,0,1.06,-1.06,0
0.3098640717240469,4.901210399794297,7.653442558875485,0,1,0,0,0,1.136300641750194,1.621853777103837,0,0,0,0,1.06,-1.06,0
0.3198596869409516,4.912621377311444,7.669601031638009,0,1,0,0,0,1.146895993880114,1.611258424973918,0,0,0,0,1.06,-1.06,0
0.3298553021578564,4.924138261891568,7.685653597337554,0,1,0,0,0,1.157491346010032,1.600663072843999,0,0,0,0,1.06,-1.06,0
0.3398509173747611,4.935761053534671,7.701600255974122,0,1,0,0,0,1.168086698139951,1.59006772071408,0,0,0,0,1.06,-1.06,0
0.3498465325916658,4.947489752240751,7.717441007547712,0,1,0,0,0,1.17868205026987,1.579472368584161,0,0,0,0,1.06,-1.06,0
0.3598421478085706,4.95932435800981,7.733175852058324,0,1,0,0,0,1.18927740239979,1.568877016454242,0,0,0,0,1.06,-1.06,0
0.3698377630254753,4.971264870841848,7.748804789505956,0,1,0,0,0,1.199872754529709,1.558281664324322,0,0,0,0,1.06,-1.06,0
0.3798333782423801,4.983311290736864,7.764327819890611,0,1,0,0,0,1.210468106659628,1.547686312194404,0,0,0,0,1.06,-1.06,0
0.3898289934592848,4.995463617694857,7.779744943212287,0,1,0,0,0,1.221063458789547,1.537090960064484,0,0,0,0,1.06,-1.06,0
0.3998246086761895,5.00772185171583,7.795056159470986,0,1,0,0,0,1.231658810919466,1.526495607934566,0,0,0,0,1.06,-1.06,0
0.4098202238930942,5.02008599279978,7.810261468666705,0,1,0,0,0,1.242254163049385,1.515900255804647,0,0,0,0,1.06,-1.06,0
0.419815839109999,5.03255604094671,7.825360870799447,0,1,0,0,0,1.252849515179304,1.505304903674727,0,0,0,0,1.06,-1.06,0
0.4298114543269038,5.045131996156616,7.84035436586921,0,1,0,0,0,1.263444867309223,1.494709551544808,0,0,0,0,1.06,-1.06,0
0.4398070695438085,5.057813858429502,7.855241953875995,0,1,0,0,0,1.274040219439142,1.484114199414889,0,0,0,0,1.06,-1.06,0
0.4498026847607132,5.070601627765366,7.870023634819802,0,1,0,0,0,1.284635571569061,1.47351884728497,0,0,0,0,1.06,-1.06,0
0.459798299977618,5.083495304164207,7.884699408700631,0,1,0,0,0,1.29523092369898,1.462923495155051,0,0,0,0,1.06,-1.06,0
0.4697939151945227,5.096494887626028,7.899269275518481,0,1,0,0,0,1.305826275828899,1.452328143025132,0,0,0,0,1.06,-1.06,0
0.4797895304114275,5.109600378150826,7.913733235273353,0,1,0,0,0,1.316421627958818,1.441732790895213,0,0,0,0,1.06,-1.06,0
0.4897851456283322,5.122811775738603,7.928091287965247,0,1,0,0,0,1.327016980088737,1.431137438765294,0,0,0,0,1.06,-1.06,0
0.4997807608452369,5.136129080389358,7.942343433594163,0,1,0,0,0,1.337612332218656,1.420542086635375,0,0,0,0,1.06,-1.06,0
0.5097763760621417,5.149552292103091,7.956489672160098,0,1,0,0,0,1.348207684348575,1.409946734505456,0,0,0,0,1.06,-1.06,0
0.5197719912790464,5.163081410879803,7.970530003663057,0,1,0,0,0,1.358803036478494,1.399351382375537,0,0,0,0,1.06,-1.06,0
0.5297676064959511,5.176716436719493,7.984464428103037,0,1,0,0,0,1.369398388608413,1.388756030245618,0,0,0,0,1.06,-1.06,0
0.5397632217128558,5.190457369622161,7.998292945480039,0,1,0,0,0,1.379993740738332,1.378160678115699,0,0,0,0,1.06,-1.06,0
0.5497588369297606,5.204304209587808,8.012015555794063,0,1,0,0,0,1.390589092868251,1.36756532598578,0,0,0,0,1.06,-1.06,0
0.5597544521466653,5.218256956616433,8.025641637067038,0,1,0,0,0,1.40118444499817,1.363275750016161,0,0,0,0,1.06,1.06,0
